block_time_day,market_count
2024-04-08T00:00:00.000000,52
2024-04-26T00:00:00.000000,71
2024-06-30T00:00:00.000000,126
2024-09-03T00:00:00.000000,187
2024-08-16T00:00:00.000000,169
2024-05-25T00:00:00.000000,85
2025-01-29T00:00:00.000000,364
2024-06-23T00:00:00.000000,121
2024-07-22T00:00:00.000000,143
2025-01-22T00:00:00.000000,352
2024-08-09T00:00:00.000000,165
2024-06-05T00:00:00.000000,88
2025-02-02T00:00:00.000000,369
2024-11-18T00:00:00.000000,283
2024-09-07T00:00:00.000000,192
2024-01-27T00:00:00.000000,7
2025-02-20T00:00:00.000000,390
2025-03-28T00:00:00.000000,448
2024-04-19T00:00:00.000000,63
2024-12-17T00:00:00.000000,310
2024-11-29T00:00:00.000000,297
2024-05-18T00:00:00.000000,83
2025-03-10T00:00:00.000000,427
2025-04-08T00:00:00.000000,466
2024-10-13T00:00:00.000000,249
2024-07-04T00:00:00.000000,136
2024-04-30T00:00:00.000000,73
2024-02-25T00:00:00.000000,24
2024-03-14T00:00:00.000000,39
2024-04-01T00:00:00.000000,50
2025-01-04T00:00:00.000000,328
2024-02-14T00:00:00.000000,22
2024-10-31T00:00:00.000000,263
2024-01-09T00:00:00.000000,2
2024-08-27T00:00:00.000000,179
2024-09-25T00:00:00.000000,218
2024-12-10T00:00:00.000000,306
2024-12-28T00:00:00.000000,323
2025-01-26T00:00:00.000000,359
2024-10-06T00:00:00.000000,239
2024-04-12T00:00:00.000000,61
2024-04-23T00:00:00.000000,69
2025-01-15T00:00:00.000000,346
2024-11-22T00:00:00.000000,292
2024-11-04T00:00:00.000000,267
2024-01-20T00:00:00.000000,7
2024-09-18T00:00:00.000000,210
2024-03-07T00:00:00.000000,25
2024-02-07T00:00:00.000000,20
2024-06-27T00:00:00.000000,123
2024-08-20T00:00:00.000000,170
2024-03-25T00:00:00.000000,48
2024-05-29T00:00:00.000000,85
2025-03-03T00:00:00.000000,412
2024-07-15T00:00:00.000000,139
2024-08-31T00:00:00.000000,184
2024-11-11T00:00:00.000000,279
2025-04-19T00:00:00.000000,483
2024-10-24T00:00:00.000000,256
2025-03-21T00:00:00.000000,446
2024-02-18T00:00:00.000000,23
2024-06-16T00:00:00.000000,102
2025-02-13T00:00:00.000000,381
2024-08-02T00:00:00.000000,156
2024-05-11T00:00:00.000000,83
2025-04-01T00:00:00.000000,457
2024-03-18T00:00:00.000000,47
2024-04-05T00:00:00.000000,52
2024-02-11T00:00:00.000000,22
2024-02-29T00:00:00.000000,25
2024-08-13T00:00:00.000000,167
2024-07-26T00:00:00.000000,152
2024-11-15T00:00:00.000000,283
2024-07-08T00:00:00.000000,139
2024-10-28T00:00:00.000000,257
2024-01-31T00:00:00.000000,12
2024-12-21T00:00:00.000000,316
2024-09-11T00:00:00.000000,200
2025-01-01T00:00:00.000000,324
2025-02-24T00:00:00.000000,408
2025-04-12T00:00:00.000000,474
2025-03-14T00:00:00.000000,441
2024-09-29T00:00:00.000000,227
2025-01-08T00:00:00.000000,339
2024-04-16T00:00:00.000000,63
2024-01-13T00:00:00.000000,3
2025-02-06T00:00:00.000000,377
2024-08-24T00:00:00.000000,177
2024-06-09T00:00:00.000000,92
2024-06-20T00:00:00.000000,109
2025-03-25T00:00:00.000000,447
2024-05-22T00:00:00.000000,84
2025-01-19T00:00:00.000000,350
2024-10-17T00:00:00.000000,251
2024-05-04T00:00:00.000000,73
2024-12-03T00:00:00.000000,299
2024-11-08T00:00:00.000000,269
2024-02-04T00:00:00.000000,12
2024-01-06T00:00:00.000000,2
2024-08-06T00:00:00.000000,158
2025-04-23T00:00:00.000000,488
2024-11-26T00:00:00.000000,294
2024-08-17T00:00:00.000000,169
2024-10-21T00:00:00.000000,252
2025-03-18T00:00:00.000000,444
2024-12-14T00:00:00.000000,308
2024-06-02T00:00:00.000000,88
2025-02-28T00:00:00.000000,412
2024-09-22T00:00:00.000000,213
2024-01-24T00:00:00.000000,7
2024-03-11T00:00:00.000000,29
2025-01-30T00:00:00.000000,369
2025-01-12T00:00:00.000000,345
2024-07-19T00:00:00.000000,143
2024-05-15T00:00:00.000000,83
2024-04-09T00:00:00.000000,54
2024-04-27T00:00:00.000000,72
2024-10-10T00:00:00.000000,247
2024-03-29T00:00:00.000000,48
2025-03-07T00:00:00.000000,419
2025-02-17T00:00:00.000000,383
2024-02-22T00:00:00.000000,24
2025-04-05T00:00:00.000000,462
2024-09-04T00:00:00.000000,191
2024-07-01T00:00:00.000000,127
2024-12-25T00:00:00.000000,321
2024-06-13T00:00:00.000000,98
2024-04-20T00:00:00.000000,68
2024-09-15T00:00:00.000000,206
2024-10-03T00:00:00.000000,232
2024-12-18T00:00:00.000000,311
2024-01-28T00:00:00.000000,8
2024-04-02T00:00:00.000000,50
2025-03-11T00:00:00.000000,432
2024-05-08T00:00:00.000000,75
2025-01-05T00:00:00.000000,330
2024-01-17T00:00:00.000000,3
2024-12-07T00:00:00.000000,302
2024-06-24T00:00:00.000000,121
2024-08-10T00:00:00.000000,166
2025-02-10T00:00:00.000000,379
2024-05-26T00:00:00.000000,85
2024-03-22T00:00:00.000000,48
2024-07-12T00:00:00.000000,139
2024-08-28T00:00:00.000000,182
2025-03-29T00:00:00.000000,448
2024-11-19T00:00:00.000000,284
2025-04-16T00:00:00.000000,479
2025-01-23T00:00:00.000000,352
2025-02-21T00:00:00.000000,395
2024-07-30T00:00:00.000000,153
2024-06-06T00:00:00.000000,88
2024-10-14T00:00:00.000000,249
2024-11-01T00:00:00.000000,264
2024-02-15T00:00:00.000000,22
2024-03-04T00:00:00.000000,25
2025-01-16T00:00:00.000000,347
2024-01-10T00:00:00.000000,2
2024-10-25T00:00:00.000000,256
2025-02-14T00:00:00.000000,383
2024-10-07T00:00:00.000000,240
2024-01-21T00:00:00.000000,7
2024-03-26T00:00:00.000000,48
2024-09-26T00:00:00.000000,219
2024-07-05T00:00:00.000000,137
2025-03-04T00:00:00.000000,415
2024-12-29T00:00:00.000000,323
2024-03-15T00:00:00.000000,40
2024-05-19T00:00:00.000000,83
2024-09-08T00:00:00.000000,193
2024-05-30T00:00:00.000000,86
2024-06-17T00:00:00.000000,102
2025-04-20T00:00:00.000000,483
2024-08-21T00:00:00.000000,171
2024-02-08T00:00:00.000000,20
2025-04-09T00:00:00.000000,468
2024-04-13T00:00:00.000000,61
2024-07-23T00:00:00.000000,146
2025-03-22T00:00:00.000000,448
2024-02-26T00:00:00.000000,24
2024-12-11T00:00:00.000000,306
2025-02-03T00:00:00.000000,369
2024-08-03T00:00:00.000000,156
2024-05-01T00:00:00.000000,73
2024-11-12T00:00:00.000000,280
2024-11-30T00:00:00.000000,298
2024-05-23T00:00:00.000000,85
2024-12-22T00:00:00.000000,317
2024-02-19T00:00:00.000000,23
2025-01-09T00:00:00.000000,339
2024-09-01T00:00:00.000000,185
2024-04-24T00:00:00.000000,69
2024-09-19T00:00:00.000000,210
2024-06-10T00:00:00.000000,94
2024-09-30T00:00:00.000000,229
2025-02-25T00:00:00.000000,409
2025-04-13T00:00:00.000000,474
2024-02-01T00:00:00.000000,12
2024-11-23T00:00:00.000000,293
2025-01-27T00:00:00.000000,359
2025-03-15T00:00:00.000000,444
2024-03-19T00:00:00.000000,47
2024-10-18T00:00:00.000000,252
2024-05-12T00:00:00.000000,83
2024-04-06T00:00:00.000000,52
2025-02-07T00:00:00.000000,380
2024-07-27T00:00:00.000000,152
2024-07-16T00:00:00.000000,140
2024-06-28T00:00:00.000000,126
2024-11-05T00:00:00.000000,267
2024-12-04T00:00:00.000000,299
2024-08-14T00:00:00.000000,168
2025-04-02T00:00:00.000000,458
2024-03-08T00:00:00.000000,25
2024-01-14T00:00:00.000000,3
2025-01-02T00:00:00.000000,324
2024-09-12T00:00:00.000000,201
2024-03-30T00:00:00.000000,50
2025-04-06T00:00:00.000000,462
2024-03-01T00:00:00.000000,25
2025-01-31T00:00:00.000000,369
2024-05-05T00:00:00.000000,73
2025-01-20T00:00:00.000000,350
2024-08-07T00:00:00.000000,161
2024-12-15T00:00:00.000000,308
2024-03-12T00:00:00.000000,30
2025-04-24T00:00:00.000000,492
2024-01-07T00:00:00.000000,2
2024-09-23T00:00:00.000000,217
2024-10-29T00:00:00.000000,258
2024-04-17T00:00:00.000000,63
2024-07-20T00:00:00.000000,142
2024-07-09T00:00:00.000000,139
2024-05-16T00:00:00.000000,83
2025-03-08T00:00:00.000000,422
2024-11-16T00:00:00.000000,283
2024-08-25T00:00:00.000000,177
2025-03-26T00:00:00.000000,448
2024-11-27T00:00:00.000000,294
2025-02-18T00:00:00.000000,384
2024-01-25T00:00:00.000000,7
2024-06-21T00:00:00.000000,118
2024-06-03T00:00:00.000000,88
2024-10-11T00:00:00.000000,247
2024-02-12T00:00:00.000000,22
2024-05-09T00:00:00.000000,80
2024-02-23T00:00:00.000000,24
2024-10-04T00:00:00.000000,236
2024-12-26T00:00:00.000000,321
2025-03-30T00:00:00.000000,450
2024-10-22T00:00:00.000000,252
2024-11-20T00:00:00.000000,288
2024-09-16T00:00:00.000000,208
2024-05-27T00:00:00.000000,85
2025-01-13T00:00:00.000000,346
2024-03-23T00:00:00.000000,48
2024-07-13T00:00:00.000000,139
2024-09-05T00:00:00.000000,192
2024-07-31T00:00:00.000000,156
2025-01-24T00:00:00.000000,357
2025-03-01T00:00:00.000000,412
2025-02-11T00:00:00.000000,380
2025-03-19T00:00:00.000000,444
2024-07-02T00:00:00.000000,132
2024-03-05T00:00:00.000000,25
2025-04-17T00:00:00.000000,480
2024-12-08T00:00:00.000000,302
2024-08-18T00:00:00.000000,169
2024-02-05T00:00:00.000000,16
2024-04-28T00:00:00.000000,72
2024-01-18T00:00:00.000000,3
2024-04-10T00:00:00.000000,55
2024-11-09T00:00:00.000000,277
2024-06-14T00:00:00.000000,101
2024-12-19T00:00:00.000000,314
2024-12-01T00:00:00.000000,298
2024-04-03T00:00:00.000000,50
2025-01-06T00:00:00.000000,330
2024-02-16T00:00:00.000000,22
2024-06-07T00:00:00.000000,87
2024-10-15T00:00:00.000000,251
2025-02-04T00:00:00.000000,370
2024-05-02T00:00:00.000000,73
2024-03-16T00:00:00.000000,47
2024-01-29T00:00:00.000000,8
2024-07-06T00:00:00.000000,139
2024-09-27T00:00:00.000000,223
2025-04-10T00:00:00.000000,468
2024-11-13T00:00:00.000000,281
2024-01-11T00:00:00.000000,2
2024-07-24T00:00:00.000000,151
2024-11-02T00:00:00.000000,265
2024-09-09T00:00:00.000000,193
2024-08-29T00:00:00.000000,183
2025-02-22T00:00:00.000000,403
2024-06-25T00:00:00.000000,122
2024-02-27T00:00:00.000000,25
2025-03-23T00:00:00.000000,448
2024-04-21T00:00:00.000000,68
2025-01-17T00:00:00.000000,349
2024-08-11T00:00:00.000000,166
2024-05-20T00:00:00.000000,83
2025-03-12T00:00:00.000000,433
