block_time_day,market_supply_assets_USD,market_borrow_assets_USD,MORPHO_tokens_supply,MORPHO_tokens_borrow,MORPHO_dollars_supply,MORPHO_dollars_borrow,vaults_revenue
2024-11-04T00:00:00.000000,894266312.0179266,690489991.5844305,61293.408246316525,5090.614637330732,45724.88255175214,3797.5985194487266,2900.7418744371344
2025-04-19T00:00:00.000000,2049004454.5171432,1677893621.9673526,21159.90608503098,2036.938743034977,16540.540850138404,1581.5934911746695,11410.274805650703
2024-01-31T00:00:00.000000,27333702.616538335,20757762.606606197,5068.664169787764,0.0,542.347066167291,0.0,87.78960380068983
2024-09-11T00:00:00.000000,691905657.4594287,540599881.3441378,49775.05014188066,4382.509963110458,37132.18740584295,3269.352432480401,1503.1566703600397
2024-08-24T00:00:00.000000,713504656.7784257,579531363.6855156,49233.397620029566,4681.171096308163,36728.11462454206,3492.1536378458904,1773.5335280988465
2024-02-29T00:00:00.000000,77681834.23712987,70519283.41773333,28373.90761548064,0.0,3036.0081148564277,0.0,1170.151320373894
2024-04-05T00:00:00.000000,249345365.767757,221503797.0009265,43538.909696213064,0.0,4658.663337494796,0.0,2335.8770522913132
2024-10-17T00:00:00.000000,718776937.6159922,575194762.5061307,58455.21628072984,5191.894730324796,43607.59134542447,3873.1534688222987,2353.2412557022735
2024-12-21T00:00:00.000000,2229826603.678569,1740415942.1011014,89660.00000000003,9861.842927013722,252293.5768248305,27755.49865515521,24728.123736043464
2024-03-18T00:00:00.000000,104439686.33298214,93316417.05540675,40704.48397836038,0.0,4355.379785684559,0.0,1999.1079790772146
2025-02-24T00:00:00.000000,2594971479.758241,2143003910.7736795,32750.028621679503,3604.848471246823,72819.66919047858,8016.741672180958,22851.868447821016
2024-07-26T00:00:00.000000,763374285.7430104,609708477.5175807,47758.33574637107,5677.033392054979,5110.141924861706,607.4425729498826,1444.6431532535942
2024-05-22T00:00:00.000000,574513755.1067494,480040445.9790563,41558.29460730593,0.0,4446.737522981733,0.0,2630.8565138970953
2024-07-08T00:00:00.000000,794263965.2669929,597379598.3256074,46168.451654220305,4836.350077205133,4940.024327001572,517.4894582609493,1968.3994613723773
2024-04-16T00:00:00.000000,481684164.7441898,372353272.1297058,35900.8324400749,0.0,3841.389071088014,0.0,2297.358618560589
2024-06-09T00:00:00.000000,760148919.0903778,622395791.4371648,44487.70433333332,0.0,4760.1843636666645,0.0,2585.275026168975
2025-01-01T00:00:00.000000,2363504165.452589,1901524605.646439,75160.00000000001,7400.563477673654,258322.34461634277,25431.856331508265,31294.559926726502
2024-10-28T00:00:00.000000,870623006.7579569,671682534.0438085,59684.83734902234,5089.853988434185,44524.888662370664,3797.031075371901,2978.8318197078947
2024-06-20T00:00:00.000000,776792076.0467548,659786467.177233,51754.77583985185,3044.0702445853335,5537.761014864146,325.71551617063074,3310.6957768964626
2024-01-13T00:00:00.000000,8557760.506057158,7270993.7784073,5068.664169787764,0.0,542.347066167291,0.0,28.06739846290016
2025-01-08T00:00:00.000000,2679879634.80969,2154519063.0482283,71652.23407344885,7178.769439114344,238693.41910601195,23915.437147550398,35128.36941286327
2024-12-03T00:00:00.000000,1564183457.5881133,1228867292.0062804,85700.0,13634.778197799189,116394.5794619445,18522.4905437684,12548.26085220271
2025-03-14T00:00:00.000000,2284930010.1100883,1767334111.3856282,33624.059373933196,3325.7073008607185,42521.763185330456,4205.89751434322,16276.916719027924
2024-02-11T00:00:00.000000,41542448.967940204,31299383.22443862,27873.90761548064,0.0,2982.5081148564277,0.0,233.14954126110285
2025-03-25T00:00:00.000000,2367158847.4965825,1790806490.045989,35337.33673792345,3103.5409980896065,50232.72650606476,4410.7781395978745,14060.266198649217
2024-08-13T00:00:00.000000,771768837.9114304,550203306.7224481,46200.637247641476,4292.353249854534,34465.67538674054,3202.0955243914823,1341.3167735094514
2025-01-19T00:00:00.000000,2770727792.4706073,2299214832.14721,67204.85550243323,7130.992490185717,258899.4631438621,27476.76006614654,31940.57771296498
2024-09-29T00:00:00.000000,733912989.0360484,592601100.2949774,56195.636051023655,5426.593702371276,41921.94449406366,4048.2389019689713,2230.4594836945707
2024-05-04T00:00:00.000000,500367026.1719103,394264053.50201774,36963.13735768644,0.0,3955.0556972724485,0.0,1482.5529557856048
2025-04-12T00:00:00.000000,2041853447.080326,1664826362.5307963,29655.1816071965,2876.3125252234163,29252.58766787655,2837.3079602894936,11578.418519823206
2024-11-15T00:00:00.000000,944061519.8203646,772043785.136515,68085.6249123659,6991.06518057751,50791.876184624976,5215.334624710826,4616.574945005472
